Palavra,Polaridade
deitar foguetes antes da festa,-1
deitar lenha na fogueira,-1
deitar poeira aos olhos a,-1
deitar poeira para os olhos de,-1
deitar tudo a perder,-1
deitar tudo para trás das costas,-1
deitar tudo por água abaixo,-1
deixar com as calças na mão,-1
deixar com as mãos a abanar,-1
deixar de rastos,-1
deixar muito a desejar,-1
deixar o barco à deriva,-1
deixar o país de tanga,-1
deixar tudo para depois,-1
deixar-se levar,-1
delambido,-1
deleitoso,1
deletério,-1
delicadeza,1
delicado,1
delicioso,1
delinquência,-1
delinquente,-1
delirar,-1
delituoso,-1
demagogia,-1
demagógico,-1
demagogo,-1
demarcado,-1
demência,-1
demente,-1
demérito,-1
demitido,-1
democracia,1
democraticidade,1
democrático,1
démodé,-1
demolidor,-1
demoníaco,-1
demorado,-1
denegrido,-1
denegrir a sua imagem,-1
dengoso,-1
denodado,1
depauperado,-1
depenado,-1
dependurado,-1
deploração,-1
deplorável,-1
deportado,-1
deposto,-1
depravação,-1
depravado,-1
depravador,-1
depreciado,-1
depreciar,-1
depreciativo,-1
depressão maníaca,-1
depressão,-1
depressivo,-1
depressor,-1
deprimência,-1
deprimente,-1
deprimido,-1
derramado,-1
derreado,-1
derreamento,-1
derrear,1
derreter,1
derrota,-1
derrotado,-1
derrotar,1
derrotismo,-1
derrotista,-1
derrubado,-1
derrubar,1
desabonado,-1
desabrido,-1
desabrigado,-1
desabusado,-1
desacompanhado,-1
desacordado,-1
desacreditado,-1
desacreditar,1
desactualizado,-1
desadaptado,-1
desafectado,1
desafecto,-1
desafetado,1
desafeto,-1
desafinação,-1
desafinado,-1
desafogado,1
desaforado,-1
desaforido,-1
desafortunado,-1
desagradado,-1
desagradável,-1
desagradecido,-1
desagrado,-1
desaire,-1
desairoso,-1
desajeitado,-1
desajustado,-1
desalentado,-1
desalento,-1
desalinhado,-1
desalinhamento,-1
desalmado,-1
desalojado,-1
desamparado,-1
desamparo,-1
desancar,1
desanimação,-1
desanimado,-1
desanimador,-1
desânimo,-1
desapaixonado,-1
desaparafusado,-1
desaparecer do mapa,-1
desaparecido,-1
desapegado,-1
desapiedado,-1
desapontado,-1
desapontador,-1
desapossado,-1
desapropriado,-1
desaprovador,-1
desaproveitado,-1
desarmante,1
desarmar,1
desarranjado,-1
desarrazoado,-1
desarrumado,-1
desarticulado,-1
desassisado,-1
desassossegado,-1
desassossego,-1
desastrado,-1
desastre,-1
desastroso,-1
desatento,-1
desatinado,-1
desatualizado,-1
desaustinado,-1
desavergonhado,-1
desavisado,-1
desbaratado,-1
desbaratador,-1
desbocado,-1
desbocamento,-1
desbotado,-1
desbragado,-1
descabelado,-1
descabelar-se,-1
descabelar,1
descabido,-1
descadeirado,-1
descalabro,-1
descalço,-1
descamisado,-1
descarado,-1
descaramento,-1
descarnado,-1
descascado,-1
descautelado,-1
descer ao mais baixo nível,-1
descer nas sondagens,-1
descerimonioso,1
descerrado,-1
desclassificado,-1
descomedido,-1
descomedimento,-1
descomplexado,1
desconcentração,-1
desconcentrado,-1
desconcertado,-1
desconexo,-1
desconfiado,-1
desconfortável,-1
desconhecedor,-1
desconsideração,-1
desconsolação,-1
desconsolado,-1
descontentamento,-1
descontente,-1
descontraído,1
descontrolado,-1
descontrolo,-1
descoordenação,-1
descoordenado,-1
descorado,-1
descoroçoado,-1
descortês,-1
descortesia,-1
descuidado,-1
descuido,-1
desdém,-1
desdenhar,-1
desdenhoso,-1
desdentado,-1
desdito,-1
desditoso,-1
desejável,1
deselegância,-1
deselegante,-1
desembaraçado,1
desemparelhado,-1
desempenado,1
desempregado,-1
desemprego,-1
desencalhe ,-1
desencaminhado,-1
desencaminhador,-1
desencaminhamento,-1
desencontrado,-1
desengonçado,-1
desengraçado,-1
desenrascado,1
desenvencilhado,1
desenvolto,1
desenvoltura,1
desenxabidez,-1
desenxabido,-1
desequilibrado,-1
desequilíbrio,-1
desertar,-1
desertor,-1
desesperado,-1
desesperança,-1
desesperançado,-1
desespero,-1
desestabilizador,-1
desfalcar,-1
desfalecido,-1
desfasado,-1
desfavorecido,-1
desfeito,-1
desfigurado,-1
desforrar-se,1
desfrutado,1
desgarrado,-1
desgastado,-1
desgaste,-1
desgosto,-1
desgostoso,-1
desgovernação,-1
desgovernado,-1
desgoverno,-1
desgraça,-1
desgraçado,-1
desgracioso,-1
desgrenhado,-1
desidratação,-1
desiludido,-1
desinfeliz,-1
desinformação,-1
desinformado,-1
desinibido,1
desinstruído,-1
desinteressado,-1
desinteressante,-1
desinteresse,-1
desistir,-1
deslambido,-1
deslavado,-1
desleal,-1
deslealdade,-1
desleixado,-1
desleixar-se,-1
desleixo ,-1
desligado,-1
deslocado,-1
deslumbrante,1
deslumbrar,1
desmaiado,-1
desmanchado,-1
desmantelado,-1
desmascarar,1
desmazelado,-1
desmazelamento,-1
desmazelo,-1
desmedido,-1
desmemoriado,-1
desmentido,-1
desmesurado,-1
desmiolado,-1
desmontado,-1
desmoralização,-1
desmoralizado,-1
desmoralizador,-1
desmoronar-se,-1
desmotivação,-1
desmotivado,-1
desmotivador,-1
desnaturado,-1
desnorteado,-1
desnorteamento,-1
desnutrição,-1
desobediência,-1
desobediente,-1
desocupado,-1
desolação,-1
desolado,-1
desolador,-1
desolhado,-1
desonestidade,-1
desonesto,-1
desonra,-1
desonrado,-1
desonrar,-1
desonroso,-1
desordeiro,-1
desordem,-1
desordenado,-1
desorganização,-1
desorganizado,-1
desorientação,-1
desorientado,-1
despachado,1
despassarado,-1
despeitado,-1
despeitar,-1
despeito,-1
despeitorado,-1
despejado,-1
despenteado,-1
despercebido,-1
desperdiçado,-1
desperdiçador,-1
desperto,1
despesista,-1
despirocado,-1
despistado,-1
desplante,-1
despótico,-1
despregado,-1
despreocupação,-1
despretensioso,1
desprevenção,-1
desprevenido,-1
desprezado,-1
desprezável,-1
desprezível,-1
desprezo,-1
desprimoroso,-1
desproporcionado,-1
despropositado,-1
despropósito,-1
desprotegido,-1
despudor,-1
despudorado,-1
desqualificado,-1
desregrado,-1
desregulado,-1
desremediado,-1
desrespeitado,-1
desrespeitador,-1
desrespeitar,-1
desrespeito,-1
desrespeitoso,-1
destabilizador,-1
destampado,-1
destapado,-1
destemido,1
destemperado,-1
desterrado,-1
destoante,-1
destrambelhado,-1
destrambelhamento,-1
destratado,-1
destravado,-1
destroçado,-1
destroço,-1
destronar,1
destruição,-1
destruído,-1
destruidor,-1
destruir,1
destrutivo,-1
destrutor,-1
desumanidade,-1
desumano,-1
desunido,-1
desusado,-1
desvairado,-1
desvairamento,-1
desvalido,-1
desvanecer,-1
desvantagem,-1
desvariado,-1
desvario,-1
desvelado,1
desvelo,1
desventurado,-1
desventuroso,-1
desviar dinheiro,-1
desvirtuado,-1
desvitalizado,-1
detalhado,1
deteriorado,-1
deteriorar,-1
determinação,1
determinado,1
detestado,-1
detestável,-1
detido,-1
detrator,-1
deturpado,-1
deturpar,-1
devaneador,-1
devassado,-1
devassidão,-1
devasso,-1
devastado,-1
devastador,-1
devastar,1
dever comer farinha maizena,-1
dever dobrar a língua,-1
dever ter vergonha na cara,-1
devoto de baco,-1
diabólico,-1
diabolismo,-1
diáfano,1
dialogante,1
difamação,-1
difamado,-1
difamador,-1
difamar,-1
difamatório,-1
difícil,-1
dificultar a vida a,1
dificultar,1
difuso,-1
dignidade,1
dignificar,1
digno de confiança,1
digno,1
digressionista,-1
digressivo,-1
dilacerado,-1
dilacerar,1
diligência,1
diligente,1
diminuído,-1
diminuir,1
dinâmico,1
dinamismo,1
dinamizador,1
diplomacia,1
diplomático,1
directo,1
direito de contas,1
direito,1
direto,1
disciplina,1
disciplinado,1
díscolo,-1
discreto,1
discrição,1
discriminação,-1
discriminado,-1
discriminador,-1
discriminar,-1
disfarçado,-1
disfonia,-1
disforme,-1
disformidade,-1
dislexia,-1
disléxico,-1
disparatado,-1
disparatar,-1
disparate,-1
dispensável,-1
dispersivo,-1
disperso,-1
displicência,-1
displicente,-1
dissidente,-1
dissimulação,-1
dissimulado,-1
dissimular,-1
dissipado,-1
dissipador,-1
dissoluto,-1
dissolvido,-1
distante,-1
distinto,1
distorcer,-1
distorcido,-1
distraído,-1
ditador,-1
ditoso,1
divagação,-1
divagador,-1
divagante,-1
divagar,-1
divertido,1
divertimento,1
divinal,1
divino,1
dizer a verdade,1
dizer algumas verdades a,1
dizer cobras e lagartos de,-1
dizer umas quantas verdades a,1
dizimado,-1
dizimar,1
doce,1
dócil,1
docilidade,1
doçura,1
doente,-1
doentio,-1
dogmático,-1
dogmatista,-1
doidivanas,-1
doido de todo,-1
doido varrido,-1
doido,-1
dolente,-1
dolorido,-1
doloso,-1
dominado,-1
dominador,1
dominante,1
dominar,1
donairoso,1
dopado,-1
dopagem,-1
dorido,-1
dormência,-1
dormente,-1
dorminhoco,-1
dormitar,-1
dotado,1
doudo,-1
douto,1
doutrinado,1
draconiano,-1
dramático,-1
dramatismo,-1
dramatizar,-1
drástico,-1
droga,-1
drogado,-1
dromomania,-1
dromomaníaco,-1
dubiedade,-1
dúbio,-1
dubitativo,-1
duficuldades,-1
dúplice,-1
duplicidade,-1
durázio,1
duro da mioleira,-1
duro de ouvido,-1
duro,-1
duvidoso,-1
ecléctico,1
eclético,1
ecológico,1
econômico,1
económico,1
economizador,1
edificante,1
edipiano,-1
educação,1
educado,1
educador,1
educativo,1
efeminado,-1
eficácia,1
eficaz,1
eficiência,1
eficiente,1
efusivo,1
egoísmo,-1
egoísta,-1
egotista,-1
egrégio,1
elástico,1
electrizante,1
elegância,1
elegante,1
elegíaco,-1
eleiçoeiro,-1
eletrizante,1
eliminar,1
elitista,-1
elogio,1
elogioso,1
eloquência,1
eloquente,1
elucidar,1
elucidativo,1
emaciado,-1
emancipado,1
emaranhado,-1
embaçado,-1
embaciado,-1
embaraçado,-1
embaraço ,-1
embaraçoso,-1
embasbacado,-1
embatucado,-1
embirração,-1
embirrante,-1
embirrento,-1
emblemático,1
embotado,-1
embriagado,-1
embrulhado,-1
embruxado,-1
embuçado,-1
embuchado,-1
emburrado,-1
embuste,-1
embusteiro,-1
emérito,1
empáfio,-1
empalidecido,-1
empalmado,-1
empanturrado,-1
empapuçado,-1
empedernido,-1
empedernimento,-1
empenhado,1
empenho,1
emperrado,-1
emperramento,-1
empertigado,-1
empobrecido,-1
empoeirado,-1
empolado,-1
empolgado,1
emporcalhado,-1
empreendedor,1
emproado,-1
emulador,-1
êmulo,-1
enaltecido,1
enamoramento,1
encabulado,-1
encalacração,-1
encalacrado,-1
encalhado,-1
encalhamento,-1
encamado,-1
encaminhado,1
encanado,-1
encantador,1
encantar,1
encanto,1
encarcerado,-1
encarniçado,-1
encavacado,-1
encher as medidas de,1
enciumado,-1
enclausurado,-1
encoberto,-1
encobrir,-1
encolerizado,-1
encolerizar-se,-1
encolerizar,1
encolher os ombros,-1
encolhido,-1
encorajado,1
encorajador,1
encorajamento,1
encostar à parede,1
encostar a um canto,1
encostar às cordas,1
encostar às tábuas,1
encostar-se a,-1
encovado,-1
encruado,-1
encurralado,-1
encurralamento,-1
encurralar,1
encurvado,-1
endemoniado,-1
endemoninhado,-1
endiabrado,-1
endinheirado,1
endireitar-se,1
endividado,-1
endividamento,-1
endividar-se,-1
endividar,-1
endoidecer,-1
endurecido,-1
energia,1
enérgico,1
enervação,-1
enervado,-1
enervamento,-1
enervante,-1
enervar-se,-1
enervar,1
enfadado,-1
enfadamento,-1
enfadar-se,-1
enfadonho,-1
enfardador,-1
enfartado,-1
enfartamento,-1
enfastiado,-1
enfastiamento,-1
enfastiante,-1
enfatuado,-1
enfeitiçado,-1
enfermiço,-1
enfermidade,-1
enfezado,-1
enfezamento,-1
enfiado,-1
enfiar o barrete,-1
enforcar-se,-1
enfraquecer,-1
enfraquecido,-1
enfrascado,-1
enfrentar o touro pelos cornos,1
enfrentar,1
enfronhado,-1
enfunado,-1
enfurecer-se,-1
enfurecer,1
enfurecido,-1
enfurecimento,-1
engaiolado,-1
engaiolamento,-1
engaiolar,1
enganado,-1
enganador,-1
enganar-se,-1
enganar,-1
engano,-1
enganoso,-1
engarrafado,-1
engasgado,-1
engasgamento,-1
engatado,-1
engodado,-1
engolfado,-1
engolido,-1
engolir em seco,-1
engonha,-1
engraçado,1
engrupido,-1
enigmático,-1
enjeitado,-1
enjoado,-1
enjoar,-1
enjoo,-1
enlameado,-1
enleado,-1
enlevado,-1
enlouquecer,-1
enlouquecido,-1
enlouquecimento,-1
enlutado,-1
enobrecer,1
enojado,-1
enojar,-1
enraivecer,1
enraivecido,-1
enraivecimento,-1
enrascada,-1
enrascado,-1
enredado,-1
enregelado,-1
enresinado,-1
enrijecido,-1
enrodilhador,-1
enrolado,-1
enrugado,-1
ensacado,-1
ensangüentado,-1
ensanguentado,-1
ensimesmado,-1
ensimesmamento,-1
ensombrar,1
ensurdecedor,-1
entalado,-1
entalar-se,-1
entalar,1
entaramelado,-1
entediado,-1
entediante,-1
entendido,1
enternecedor,1
enternecido,1
enterrado,-1
enterrar a cabeça na areia,-1
enterrar-se,-1
enterrar,1
entontecido,-1
entontecimento,-1
entornado,-1
entorpecer,-1
entorpecido,-1
entorpecimento,-1
entortado,-1
entregador,-1
entregar a alma ao criador,-1
entregar a alma ao diabo,-1
entregar o ouro ao bandido,-1
entregar-se de corpo e alma,1
entrevação,-1
entrevado,-1
entristecer,-1
entristecido,-1
entristecimento,-1
entubado,-1
entulhado,-1
entumecimento,-1
entusiasmante,1
entusiasmar,1
entusiasmo,1
entusiasta,1
entusiástico,1
envaidecido,-1
envelhecido,-1
envenenador,-1
envenenamento,-1
envenenar,-1
envergonhado,-1
envergonhar-se,-1
envergonhar,-1
enviesado,-1
envinagrado,-1
enxerido,-1
enxofrado,-1
enxoframento,-1
enxotar,1
enxovalhado,-1
enxovalhar,1
enxuto,1
epigramático,-1
epilético,-1
equânime,1
equanimidade,1
equidade,1
equilibrado,1
equilíbrio,1
eqüitativo,1
equitativo,1
equivocado,-1
equivocar-se,-1
equívoco,-1
erguer a cabeça,1
ermo,-1
erotomania,-1
erotomaníaco,-1
errado,-1
errante,-1
errar,-1
errático,-1
erro,-1
erudito,1
esbaforido,-1
esbanjado,-1
esbanjador,-1
esbanjamento,-1
esbanjar dinheiro,-1
esbatido,-1
esbelto,1
esbofetear,1
esborratado,-1
esburacado,-1
escabelado,-1
escabrosidade,-1
escabroso,-1
escaldado,-1
escamado,-1
escamoso,-1
escamotear,-1
escancarado,-1
escandalizar,-1
escândalo,-1
escandaloso,-1
escangalhado,-1
escanifrado,-1
escanzelado,-1
escapadiço,-1
escapo,-1
escarnecedor,-1
escarnecido,-1
escarninho,-1
escárnio,-1
escarrapachado,-1
escavacado,-1
escaveirado,-1
esclarecedor,1
esclarecer,1
esclarecido,1
esclerosado,-1
esclerose,-1
esclerótico,-1
escolarizado,1
esconder a verdade,-1
esconder-se,-1
esconder,-1
escondido,-1
esconso,-1
escoriado,-1
escorraçado,-1
escorregadio,-1
escorregar,-1
escorreito,1
escrachado,-1
escravizado,-1
escrupuloso,1
esculachado,-1
escultural,1
escuro,-1
escusado,-1
escuso,-1
esdrúxulo,-1
esfaimado,-1
esfalfado,-1
esfarrapado,-1
esférico,-1
esfíngico,-1
esfomeado,-1
esforçado,1
esfuziante,1
esgalgado,-1
esganação,-1
esganado,-1
esganar,1
esganiçado,-1
esgazeado,-1
esgazeamento,-1
esgotado,-1
esgotamento,-1
esgotante,-1
esgotar,1
esgrouviado,-1
esguedelhado,-1
esmagado,-1
esmagar,1
esmerado,1
esmerar-se,1
esmero,1
esmilhafrado,-1
esmoler,1
esmorecer,-1
esmorecido,-1
esmorecimento,-1
espalhafato,-1
espalhafatoso,-1
espalhanço,-1
espampanante,-1
espancado,-1
espancar,1
esparramado,-1
espatifado,-1
espaventoso,-1
espavorido,-1
especado,-1
especial,1
espectacular,1
espectral,1
esperançado,1
esperançoso,1
espertalhão,-1
espetacular,1
espetaculoso,-1
espetado,-1
espetar-se ao comprido,-1
espevitado,1
espezinhado,-1
espezinhar,1
espinhento,-1
espinhoso,-1
espirituoso,1
esplendente,1
esplêndido,1
esplendoroso,1
espontaneidade,1
espontâneo,1
espremido,-1
espúrio,-1
esquálido,-1
esquecediço,-1
esquecido,-1
esquelético,-1
esquentado,-1
esquerdóide,-1
esquinado,-1
esquisitice,-1
esquisito,-1
esquivo,-1
esquizofrenia,-1
esquizofrénico,-1
esquizóide,-1
esquizoidia,-1
estabanado,-1
estabilidade,1
estacado,-1
estafado,-1
estagnado,-1
estagnar,-1
estalado,-1
estalar o verniz,-1
estampado,-1
estancado,-1
estanhado,-1
estapafúrdio,-1
estar à altura de,1
estar à altura,1
estar a anos luz de,-1
estar à beira do precipício,-1
estar à deriva,-1
estar a dormir à sombra da bananeira,-1
estar a dormir,-1
estar a falar para as paredes,-1
estar a falar sozinho,-1
estar a jeito,-1
estar à nora,-1
estar a pensar na morte da bezerra,-1
estar à rasca,-1
estar à rasquinha,-1
estar a secar,-1
estar à sombra da bananeira,-1
estar aí para as curvas,1
estar ao deus dará,-1
estar armado em carapau de corrida,-1
estar às aranhas,-1
estar às cegas,-1
estar às turras com,-1
estar bem,1
estar com a cabeça na lua,-1
estar com a corda ao pescoço,-1
estar com a corda na garganta,-1
estar com a corda no pescoço,-1
estar com a lágrima no canto do olho,-1
estar com cara de caso,-1
estar com dor de corno,-1
estar com dor de cotovelo,-1
estar com macacos na cabeça,-1
estar com macacos no sótão,-1
estar com macaquinhos na cabeça,-1
estar com macaquinhos no sótão,-1
estar com o coração nas mãos,-1
estar com os azeites,-1
estar com os pés para a cova,-1
estar com um aperto no coração,-1
estar de cabeça quente,-1
estar de mãos a abanar,-1
estar de mãos atadas,-1
estar de mãos e pés atados,-1
estar de molho,-1
estar de olhos vendados,-1
estar de pés atados,-1
estar de saúde,1
estar de tanga,-1
estar de trombas,-1
estar em baixo de forma,-1
estar em baixo,-1
estar em grande forma,1
estar em grande,1
estar em pedaços,-1
estar em pele e osso,-1
estar enterrado até às orelhas,-1
estar feito ao bife,-1
estar feito barata tonta,-1
estar feito com,-1
estar fora de si,-1
estar na lua,-1
estar na retranca,-1
estar nas mãos de,-1
estar nas sete quintas,1
estar no bom caminho,1
estar num beco sem saída,-1
estar pelos cabelos,-1
estar por um fio,-1
estar sempre a bater na mesma tecla,-1
estar-se nas tintas,-1
estarola,-1
estarolice,-1
estarrecer,1
estarrecido,-1
estatelado,-1
estatelar-se,-1
estático,-1
estavanado,-1
estável,1
estendido,-1
estereotipado,-1
estéril,-1
esterilidade,-1
esticado,-1
esticar o pernil,-1
estigmatizado,-1
estiloso,-1
estimado,1
estimável,1
estirado,-1
estóico,-1
estoirado,-1
estoiro,-1
estorvar,1
estourado,-1
estouvado,-1
estrábico,-1
estragado,-1
estrambólico,-1
estrambótico,-1
estrangeirado,-1
estrangulado,-1
estrangular,1
estranho,-1
estratagema,-1
estremunhado,-1
estrénuo,1
estridente,-1
estroina,-1
estropiado,-1
estruturado,-1
estudioso,1
estulto,-1
estupefaciente,-1
estupendo,1
estupidez,-1
estúpido,-1
estuporado,-1
estuprado,-1
esvair-se em sangue,-1
esvaziado,-1
etéreo,1
etilizado,-1
eufónico,1
eufórico,1
eunuco,-1
evasão,-1
evasivo,-1
evitar,-1
exacerbado,-1
exagerado,-1
exagerar,-1
exalado,-1
exaltado,-1
exaltar-se,-1
exangue,-1
exasperação,-1
exasperado,-1
exasperar-se,-1
exasperar,-1
exato,1
exaustão,-1
exausto,-1
exceder-se,-1
exceder,1
excelência,1
excelente,1
excelso,1
excepcional,1
excessividade,-1
excessivo,-1
excitante,1
excitar,1
excluído,-1
excomungado,-1
execração,-1
execrado,-1
execrável,-1
executado,-1
exemplar,1
exemplaridade,1
exibicionismo,-1
exibicionista,-1
exibido,-1
exibir-se,-1
exilado,-1
eximido,-1
exímio,1
exotérico,-1
expansivo,1
expatriado,-1
expeditivo,1
expedito,1
expelido,-1
experiência,1
experiente,1
experimentado,1
experimentar dificuldades,-1
experto,1
explorador,-1
explorar,-1
explosivo,-1
expressivo,1
expropriado,-1
expulsar,1
expulso,-1
extemporâneo,-1
extenuação,-1
extenuado,-1
extenuante,-1
extenuar,1
exterminar,1
extraordinário,1
extravagante,-1
extraviado,-1
extremista,-1
extremoso,1
extrovertido,1
exultante,1
fabuloso,1
façanhudo,-1
faccioso,-1
faceto,1
facínora,-1
facinoroso,-1
factual,1
fadiga,-1
fadigado,-1
falácia,-1
falacioso,-1
falado,1
falante,1
falar com convicção,1
falar de barriga cheia,-1
falar demais,-1
falar para as paredes,-1
falar para o boneco,-1
falar sem convicção,-1
falar verdade,1
falência,-1
falhado,-1
falhanço,-1
falhar,-1
falho,-1
falibilidade,-1
falido,-1
falível,-1
falsear,-1
falseta,-1
falsidade,-1
falso,-1
faltar à palavra,-1
faltar ao compromisso,-1
faltar ao respeito,-1
falto,-1
faltoso,-1
famélico,-1
faminto,-1
famoso,1
fanfarrão,-1
fanho,-1
fanhoso,-1
fantasiar,-1
fantasista,-1
fantástico,1
fareleiro,-1
farisaico,-1
fariseu,-1
farrista,-1
farronqueiro,-1
farsa,-1
farsante,-1
farsista,-1
farsola,-1
fascinante,1
fascinar,1
fascista,-1
fastidioso,-1
fastio,-1
fatal,-1
fatalista,-1
fatigado,-1
fatigante,-1
fátuo,-1
favorável,1
favorecer,-1
fazer à custa de,-1
fazer a folha a,-1
fazer asneira,-1
fazer beicinho,-1
fazer biquinho,-1
fazer boa figura,1
fazer caretas,-1
fazer com os olhos fechados,1
fazer com uma perna às costas,1
fazer das tripas coração,1
fazer faísca,-1
fazer figura de urso,-1
fazer figura triste,-1
fazer filmes,-1
fazer gato e sapato de,-1
fazer horas,-1
fazer má figura,-1
fazer orelhas moucas,-1
fazer ouvidos de mercador,-1
fazer sombra a,1
fazer um grande feito,1
fazer um negócio da china,1
fazer uma boa jogada,1
fazer uma figura decente,1
fazer uma jogada de mestre,1
fazer uma rica parelha,-1
fazer uma tempestade num copo de água,-1
fazer vista grossa,-1
fazer xeque-mate,1
fazer-se de vítima,-1
febril,-1
fechado,-1
fechar os olhos,-1
fechar-se em copas,-1
fecundo,1
fedor,-1
fedorento,-1
feio,-1
feiticista,-1
feitiço,-1
felicidade,1
felino,-1
feliz,1
felizardo,1
femeeiro,-1
fenomenal,1
ferido,-1
ferino,-1
fero,-1
feroz,-1
ferrado,-1
ferrenho,-1
férreo,-1
fértil,1
ferver em pouca água,-1
fescenino,-1
festivo,1
fetichista,-1
fiabilidade,1
fiável,1
ficar a apanhar bonés,-1
ficar a chupar no dedo,-1
ficar à deriva,-1
ficar a dormir à sombra da bananeira,-1
ficar a falar para as paredes,-1
ficar a falar sozinho,-1
ficar a jeito,-1
ficar à nora,-1
ficar a pensar na morte da bezerra,-1
ficar a secar,-1
ficar à sombra da bananeira,-1
ficar à sombra de,-1
ficar a ver navios,-1
ficar ao deus dará,-1
ficar aos caídos,-1
ficar às aranhas,-1
ficar às cegas,-1
ficar com a cabeça em água,-1
ficar com a cabeça na lua,-1
ficar com as calças na mão,-1
ficar com cara de caso,-1
ficar com dor de corno,-1
ficar com dor de cotovelo,-1
ficar com macacos na cabeça,-1
ficar com macacos no sótão,-1
ficar com macaquinhos na cabeça,-1
ficar com macaquinhos no sótão,-1
ficar com o coração nas mãos,-1
ficar com os louros,-1
ficar de mãos a abanar,-1
ficar de mãos atadas,-1
ficar de mãos e pés atados,-1
ficar de molho,-1
ficar de pés atados,-1
ficar de tanga,-1
ficar de trombas,-1
ficar em pedaços,-1
ficar em primeiro,1
ficar em último,-1
ficar enterrado até às orelhas,-1
ficar feito barata tonta,-1
ficar fora de si,-1
ficar mal visto,-1
ficar na lua,-1
ficar nas mãos de,-1
ficar num beco sem saída,-1
ficar para tio,-1
ficar pelos cabelos,-1
ficar reduzido a nada,-1
ficar reduzido a zero,-1
ficar sem argumentos,-1
fictício,-1
fidedignidade,1
fidedigno,1
fidelidade,1
fiel,1
filantrópico,1
filantropo,1
filho da puta,-1
finado,-1
fincado,-1
fingido,-1
fingidor,-1
fingimento,-1
fingir,-1
finório,-1
fintar,1
firme,1
firmeza,1
fisgado,-1
fiteiro,-1
fitinhas,-1
fiúza,-1
fixe,1
flagelado,-1
flagelante,-1
flagelar,1
flatulência,-1
flatulento,-1
flébil,-1
